               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.022546,            0.021145,           0.0011791,             0.20362,             0.37955,             0.26956,             0.15183,            0.079854,            0.027753,            0.019218,           0.0086965,           0.0086965,           0.0086965
                  81,            0.022054,            0.021376,           0.0012229,             0.97903,             0.99773,              0.9871,             0.73345,            0.012923,           0.0078548,            0.000559,             0.00868,             0.00868,             0.00868
                  82,            0.022078,            0.021197,           0.0011719,             0.97924,             0.99773,             0.98952,              0.7878,             0.01358,           0.0083117,          0.00050364,           0.0086635,           0.0086635,           0.0086635
                  83,            0.022021,            0.021326,           0.0011744,             0.99547,                   1,               0.995,             0.84257,            0.012666,           0.0072684,          0.00039732,            0.008647,            0.008647,            0.008647
                  84,            0.022387,            0.021994,           0.0012414,             0.99573,                   1,               0.995,             0.83861,            0.012997,            0.007029,          0.00049987,           0.0086305,           0.0086305,           0.0086305
                  85,            0.021072,            0.020672,           0.0011627,             0.98134,                   1,             0.98352,             0.76778,            0.013336,           0.0083197,          0.00065336,            0.008614,            0.008614,            0.008614
                  86,            0.021266,            0.021366,           0.0011852,             0.98431,                   1,              0.9859,             0.81849,            0.012244,              0.0071,          0.00059042,           0.0085975,           0.0085975,           0.0085975
                  87,            0.020683,            0.020336,           0.0011017,             0.85429,              0.7022,             0.86514,             0.52131,            0.036688,            0.022267,           0.0021274,            0.008581,            0.008581,            0.008581
                  88,            0.020909,            0.021411,           0.0011258,              0.9886,             0.99974,               0.995,             0.83709,            0.013058,           0.0071052,          0.00041276,           0.0085645,           0.0085645,           0.0085645
                  89,            0.020966,            0.020627,           0.0011223,                   0,                   0,                   0,                   0,             0.10246,            0.014494,            0.053836,            0.008548,            0.008548,            0.008548
                  90,            0.022363,             0.02149,           0.0010611,             0.94061,               0.625,             0.69052,             0.43739,             0.06911,            0.018514,            0.014192,           0.0085315,           0.0085315,           0.0085315
                  91,            0.020912,            0.020776,            0.001059,             0.98143,                   1,             0.98902,             0.81099,            0.011674,           0.0076248,          0.00043736,            0.008515,            0.008515,            0.008515
                  92,            0.021217,            0.020415,           0.0011599,             0.98133,                   1,              0.9903,             0.79071,            0.012195,           0.0075467,          0.00047352,           0.0084985,           0.0084985,           0.0084985
